name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Seshasayee Paper & Boards,https://scanx.trade/company/seshasayee-paper-boards-ltd,235.19,-1.52%,240.8,"2,870","1,483.30",18.04,220.88,318,211.59,-2.02%,-8.63%,-17.74%,-11.70%,59.88%,0.75,1.00%,14.17%,6.53%,37.42,234.84,263.15,53.58,50.00%,-
NELCO,https://scanx.trade/company/nelco-ltd,646.95,-1.92%,660,"36,512","1,476.24",-813.77,-3.3,"1,161.00",580.15,-11.33%,-25.54%,-35.19%,9.70%,198.48%,11.7,0.15%,19.15%,18.66%,9.86,722.24,846.25,42.22,50.00%,65.00%
Salasar Techno Engineering,https://scanx.trade/company/salasar-techno-engineering-ltd,8.44,-1.06%,8.53,"32,29,056","1,475.27",47.22,19.48,12.31,6.91,-5.27%,-18.38%,-27.92%,-7.46%,167.09%,1.76,-,10.04%,11.00%,0.31,8.75,8.65,52.28,50.00%,-
Beta Drugs,https://scanx.trade/company/beta-drugs-ltd,"1,459.30",0.16%,"1,479.60","2,278","1,473.10",34.67,42.1,"2,079.95","1,384.90",-10.44%,-16.28%,-27.41%,129.99%,1069.31%,7.46,-,-,19.18%,-,"1,578.35","1,738.64",40.13,-,-
Magellanic Cloud,https://scanx.trade/company/magellanic-cloud-ltd,25.2,5.00%,24.18,"14,35,086","1,472.68",13.19,52.74,105.42,21.2,-2.74%,-58.31%,-66.80%,-66.80%,-66.80%,2.33,0.12%,-,25.56%,-,25.67,62.33,52.8,36.00%,100.00%
Himatsingka Seide,https://scanx.trade/company/himatsingka-seide-ltd,117.09,-1.86%,119.2,"3,67,696","1,472.32",17.24,23.66,168.66,94.22,2.17%,-4.65%,-28.31%,67.51%,-22.99%,0.71,0.21%,-4.42%,9.53%,10.59,111.8,130.71,60.66,61.74%,75.00%
Antony Waste Handling Cell,https://scanx.trade/company/antony-waste-handling-cell-ltd,518.55,-1.26%,525.15,"97,066","1,471.75",14.78,38.29,693,408.05,5.26%,0.41%,-19.06%,79.18%,66.82%,2.16,-,13.71%,13.55%,30.11,489.44,554.07,50.69,50.00%,-
Indo Tech Transformers,https://scanx.trade/company/indo-tech-transformers-ltd,"1,385.70",-7.80%,"1,473.00","43,977","1,471.61",18.9,-0.1,"2,787.40","1,148.00",-13.48%,-16.94%,-42.59%,548.89%,1255.21%,4.9,-,-,30.43%,-,"1,504.01","1,817.37",48.61,11.00%,-
ESAF Small Finance Bank,https://scanx.trade/company/esaf-small-finance-bank-ltd,28.47,2.15%,28.15,"4,02,180","1,467.84",-3.86,9.74,36.6,24.31,6.35%,2.19%,-20.05%,-58.77%,-58.77%,0.82,-,17.08%,4.11%,6.96,26.84,29.41,55.13,50.00%,-
NIBE,https://scanx.trade/company/kavita-fabrics-ltd,"1,012.00",-1.59%,"1,035.00","23,118","1,467.53",742.37,24.35,"2,001.00",761.5,-18.18%,-14.77%,-36.47%,-36.47%,-36.47%,6.42,0.12%,-,15.44%,-,"1,105.54","1,355.73",37.27,0.00%,-
Astec Lifesciences,https://scanx.trade/company/astec-lifesciences-ltd,657.85,8.24%,620,"13,06,534","1,465.80",-15.18,22.23,990.82,554,-8.01%,-0.88%,-29.39%,-52.61%,-41.45%,3.27,-,-12.69%,-20.22%,-,691.15,760.82,56.47,50.00%,-
D-Link,https://scanx.trade/company/dlink-india-ltd,412.55,-3.68%,425.6,"76,894","1,464.75",14.64,34.45,589.55,349.45,-4.20%,-7.44%,-14.86%,96.55%,285.20%,3.21,4.68%,21.29%,29.43%,26.84,415.95,473.08,51.72,50.00%,-
Stallion India Fluorochemicals,https://scanx.trade/company/stallion-india-fluorochemicals-ltd,184.55,-1.45%,187,"1,78,407","1,463.95",-,200.88,423.8,60,-28.38%,-25.48%,95.27%,46.47%,46.47%,-,-,-,16.13%,-,205.25,168.24,41.01,-,-
Jagran Prakashan,https://scanx.trade/company/jagran-prakashan-ltd,66.99,0.50%,66.76,"92,053","1,458.07",10.76,17.94,83.8,65.01,-7.31%,-7.28%,-13.07%,-7.22%,53.30%,0.75,9.00%,10.19%,7.12%,8.28,69.3,71.64,41.04,50.00%,-
Dynamic Cables,https://scanx.trade/company/dynamic-cables-ltd,300.85,-2.84%,310.1,"72,433","1,457.88",17.89,20.24,526.75,227.5,-12.31%,-24.34%,-20.08%,190.31%,340.48%,3.65,0.08%,17.65%,26.48%,15.68,321.17,386.35,45.96,50.00%,-
Shanti Gold International,https://scanx.trade/company/shanti-gold-international-ltd,201.98,-1.80%,203.65,"1,01,988","1,456.20",13.95,8.17,274.1,184.1,6.04%,-16.39%,-11.95%,-11.95%,-11.95%,2.73,-,-,49.51%,-,199.52,-,50.38,-,70.00%
Omaxe,https://scanx.trade/company/omaxe-ltd,79.36,0.38%,79,"1,99,499","1,451.50",-2.22,8.7,113.4,62.5,-0.79%,-0.53%,-14.98%,30.63%,5.11%,-2.6,-,-,-61.52%,-,73.61,84.36,55.97,50.00%,-
Southern Petrochemical Industries,https://scanx.trade/company/southern-petrochemical-industries-corporation-ltd,71.15,-2.79%,73.19,"2,96,780","1,448.90",8.02,78.98,128.2,68.5,-15.32%,-21.67%,-5.18%,3.27%,172.08%,1.15,2.73%,30.51%,21.00%,8.47,78.86,88.35,38.63,50.00%,70.00%
DEE Development Engineers,https://scanx.trade/company/dee-development-engineers-ltd,209.09,-1.58%,214.15,"1,00,782","1,448.23",18.21,19.48,336.2,167,-2.70%,-15.11%,-22.75%,-37.64%,-37.64%,1.76,-,3.06%,10.51%,3.8,208.38,254.97,54.27,60.00%,-
PNB Gilts,https://scanx.trade/company/pnb-gilts-ltd,80.35,-0.46%,80.81,"2,14,258","1,446.38",5.97,3.47,119.8,74.25,-3.63%,-11.24%,-23.21%,29.39%,70.78%,0.89,1.24%,-6.13%,6.78%,3.51,80.79,93.41,50.79,50.00%,60.00%
SBC Exports,https://scanx.trade/company/sbc-exports-ltd,30.31,1.51%,29.86,"1,23,75,164","1,443.33",63.55,23.66,30.19,10.95,6.46%,25.25%,117.12%,365.59%,1503.70%,20.16,-,19.67%,30.65%,0.43,28.26,20.94,68.05,50.00%,60.00%
GTL Infrastructure,https://scanx.trade/company/gtl-infrastructure-ltd,1.12,-6.67%,1.2,"9,98,21,981","1,434.62",-1.75,17.55,2.17,0.98,-9.68%,-22.22%,-39.46%,17.89%,-2.61%,-0.24,-,21.15%,8.82%,-,1.18,1.45,52.06,-,-
Suryoday Small Finance Bank,https://scanx.trade/company/suryoday-small-finance-bank-ltd,134.9,0.39%,134.36,"63,524","1,433.85",20.84,9.74,161.48,97.97,-6.29%,-11.29%,9.71%,28.48%,-51.44%,0.72,-,4.90%,6.35%,22.44,138.45,136.62,45.32,65.09%,-
Precision Camshafts,https://scanx.trade/company/precision-camshafts-ltd,150.85,0.73%,151.11,"2,36,487","1,432.86",21.5,173.23,318.7,130.35,-11.25%,-17.63%,-50.79%,49.88%,230.45%,1.74,0.67%,5.39%,10.98%,3.73,156.88,182.22,50.86,50.00%,-
DCW,https://scanx.trade/company/dcw-ltd,48.32,-2.09%,49.8,"8,16,315","1,426.19",29.44,31.05,90.36,42.66,-16.30%,-28.71%,-39.44%,-1.59%,139.21%,1.39,0.20%,-1.06%,1.09%,0.46,54.58,69.7,44.42,63.22%,75.00%
Jindal Photo,https://scanx.trade/company/jindal-photo-ltd,"1,389.80",-1.44%,"1,410.10","2,917","1,425.70",9.35,3.47,"1,616.60",536,-7.43%,1.35%,95.33%,370.72%,4397.73%,1.35,-,-,22.43%,-,"1,450.65","1,142.08",47.6,-,-
Krishna Defence & Allied Industries,https://scanx.trade/company/krishna-defence-allied-industries-ltd,947.6,-0.01%,954.3,"1,77,141","1,413.73",63.82,19.48,"1,178.90",503,16.61%,20.67%,51.06%,507.05%,1103.30%,9.4,0.05%,-,23.15%,-,842.45,829.83,54.08,-,-
Jindal Drilling & Industries,https://scanx.trade/company/jindal-drilling-industries-ltd,487.7,4.59%,471.5,"1,37,963","1,413.41",5.73,-110.71,990.35,446.7,-14.57%,-16.54%,-49.26%,87.32%,476.14%,0.76,0.21%,3.75%,15.00%,28.61,524.42,595.64,43.9,50.00%,70.00%
Den Networks,https://scanx.trade/company/den-networks-ltd,29.53,2.32%,29.1,"4,95,517","1,409.24",7.33,17.94,42.6,26.9,-5.90%,-11.40%,-23.32%,-4.59%,-52.06%,0.37,-,7.26%,6.78%,4.56,30.5,34.08,50.84,50.00%,-
NGL Fine Chem,https://scanx.trade/company/ngl-fine-chem-ltd,"2,270.10",4.89%,"2,440.00","82,610","1,402.47",38.53,42.1,"2,164.20",957,61.22%,39.27%,36.54%,53.50%,21.46%,4.5,0.08%,-,9.56%,-,"1,461.24","1,341.05",83.34,50.00%,-
Punjab Chemicals & Crop Protection,https://scanx.trade/company/punjab-chemicals-crop-protection-ltd,"1,141.80",-1.26%,"1,157.60","4,520","1,400.10",23.71,22.23,"1,666.00",662,-3.05%,-12.43%,41.02%,27.33%,29.49%,3.56,0.26%,16.23%,15.68%,36.84,"1,198.07","1,221.06",50.3,50.00%,-
Meghmani Organics,https://scanx.trade/company/mol.ltd,54.86,-2.85%,56.14,"4,39,450","1,395.17",35.58,22.23,106.3,52.17,-15.25%,-29.30%,-30.86%,-44.22%,-38.53%,0.93,-,-6.94%,4.17%,-,61.95,78.67,39.23,64.95%,100.00%
Wendt,https://scanx.trade/company/wendt-india-ltd,"6,971.00",-1.56%,"7,019.50","2,734","1,394.20",63.48,42.27,"12,990.00","6,447.00",-11.32%,-18.50%,-41.85%,-13.21%,115.50%,5.71,0.70%,19.31%,20.87%,198.05,"7,609.91","8,877.24",43.45,50.00%,70.00%
Sportking,https://scanx.trade/company/sportking-india-ltd,104.64,-2.33%,108.2,"2,21,192","1,390.37",11.87,1.85,140,69.91,20.19%,5.36%,17.72%,49.74%,1.49%,1.29,0.94%,7.80%,14.28%,66.1,88.79,103.77,74.5,60.00%,-
Sumeet Industries,https://scanx.trade/company/sumeet-ind-ltd,26.33,3.21%,25.9,"98,716","1,385.82",7.43,4.44,181.7,10.66,-10.44%,-19.82%,-52.95%,674.41%,674.41%,7.75,-,-,70.33%,-,29.01,22.52,43.4,-,-
Megasoft,https://scanx.trade/company/megasoft-ltd,187.46,3.84%,181,"1,61,551","1,382.89",23.14,16.76,231,49.06,-9.54%,-15.50%,137.05%,512.61%,1917.87%,8.98,-,-,9.01%,-,187.05,140.61,54.5,-,-
Expleo Solutions,https://scanx.trade/company/expleo-solutions-ltd,889.35,-0.95%,887.85,"18,359","1,380.25",13.06,52.74,"1,370.90",735.35,-8.47%,-11.28%,-26.12%,-27.45%,81.48%,1.97,5.58%,14.80%,20.76%,60.67,980.22,"1,044.28",38.08,50.00%,-
HMA Agro Industries,https://scanx.trade/company/hma-agro-industries-ltd,27.46,1.10%,27.5,"1,25,218","1,375.11",11.03,30.92,39.1,24.78,-6.79%,-12.07%,-27.79%,-53.12%,-53.12%,1.58,1.10%,24.97%,17.71%,2.01,28.26,30.85,53.29,50.00%,-
Huhtamaki PPL,https://scanx.trade/company/huhtamaki-ppl-ltd,181.65,-1.61%,184.81,"1,04,435","1,371.86",14.01,11.76,272.65,170.56,-14.56%,-26.50%,-21.25%,-7.65%,-40.38%,1.13,1.08%,12.25%,13.88%,14.49,201.87,216.69,37.65,66.69%,-
Kross,https://scanx.trade/company/kross-bikes-ltd,212.43,0.08%,211.1,"6,51,840","1,370.37",27.41,173.23,237.6,150.06,3.69%,17.49%,15.46%,-18.24%,-18.24%,3.02,-,-,42.17%,-,188.15,185.78,63.18,50.00%,-
IFGL Refractories,https://scanx.trade/company/ifgl-refractories-ltd,189.61,2.33%,184,"18,976","1,366.68",44.83,28.75,338,163.03,-11.25%,-22.45%,-4.89%,45.99%,54.68%,1.17,1.89%,7.62%,6.10%,21.29,198.14,234.25,50.91,50.00%,-
Finkurve Financial Services,https://scanx.trade/company/finkurve-financial-services-ltd,97.44,7.04%,87.5,"41,805","1,364.65",73.13,3.47,134.9,76.6,-1.16%,-13.27%,-14.58%,-14.58%,-14.58%,7.35,-,-,16.39%,-,96.99,-,57.35,-,-
Aurum PropTech,https://scanx.trade/company/aurum-ltd,178.68,-2.85%,184.63,"66,993","1,360.03",-51.63,52.74,225.7,144.4,-4.51%,3.94%,-16.11%,67.15%,403.18%,2.73,-,-,-3.07%,-,179.63,181.47,46.97,50.00%,-
Exicom Tele-Systems,https://scanx.trade/company/exicom-telesystems-ltd,97.53,-2.09%,99.9,"1,80,262","1,356.45",-5.25,-0.1,238.14,93.2,-18.22%,-28.74%,-57.00%,-54.95%,-54.95%,1.86,-,-,-5.57%,-,109.31,144.71,36.76,60.00%,-
TTK Healthcare,https://scanx.trade/company/ttk-healthcare-ltd,958,-0.67%,976.1,"2,829","1,353.69",22.61,51.97,"1,398.90",951,-6.85%,-18.11%,-24.13%,2.57%,53.51%,1.26,1.04%,6.28%,10.43%,44.94,"1,025.97","1,161.44",29.8,50.00%,-
Alldigi Tech,https://scanx.trade/company/allsec-technologies-ltd,887.9,-1.28%,890,"11,927","1,353.01",18.87,52.74,"1,084.00",770,6.09%,0.62%,-8.80%,70.60%,199.51%,5.54,5.00%,26.07%,36.86%,43.71,839.81,912.39,55.23,50.00%,-
Dolat Algotech,https://scanx.trade/company/dolat-investments-ltd,76.49,-1.52%,77.32,"1,66,214","1,346.22",11.16,3.47,111.05,68,-16.44%,-1.65%,-25.89%,31.77%,30.09%,1.3,0.32%,18.19%,34.33%,12.28,82.53,86.52,38.59,50.00%,-
AB Infrabuild,https://scanx.trade/company/ab-infrabuild-ltd,20.99,9.67%,19.8,"48,35,943","1,340.82",63.27,8.7,224.98,6.17,12.19%,7.75%,156.29%,67.25%,3518.97%,7.71,0.02%,-,20.67%,-,18.71,17.3,66.08,-,-
India Motor Parts & Accessories,https://scanx.trade/company/india-motor-parts-accessories-ltd,"1,071.00",0.52%,"1,062.00",887,"1,336.61",16.78,173.23,"1,184.50",870.1,2.72%,0.40%,-4.34%,50.76%,90.98%,0.52,2.84%,3.57%,4.07%,61.63,"1,039.45","1,054.92",57.38,50.00%,-
JNK India,https://scanx.trade/company/jnk-india-ltd,238.75,-0.69%,240,"1,20,559","1,335.90",44.66,24.35,540.95,200.92,1.19%,-17.03%,-54.37%,-65.63%,-65.63%,2.6,0.12%,-,11.24%,-,228.61,298.1,58.38,50.00%,-
Vinyas Innovative Technologies,https://scanx.trade/company/vinyas-innovative-technologies-ltd,"1,055.65",-0.45%,"1,050.60","3,100","1,328.51",68.73,23.21,"1,440.00",575.8,-8.21%,-8.30%,42.66%,204.66%,204.66%,9.08,-,-,24.30%,-,"1,139.10","1,138.26",42.6,-,-
GOCL Corporation,https://scanx.trade/company/gulf-oil-corporation-ltd,267.3,-1.04%,269,"47,530","1,325.07",0.99,51.97,417.5,244,-8.66%,-23.94%,-23.15%,-18.03%,11.49%,0.48,3.70%,14.98%,8.43%,15.79,284.1,330.54,46.44,50.00%,-
Shriram Properties,https://scanx.trade/company/shriram-properties-ltd,77.22,-3.35%,79.79,"2,68,963","1,317.79",15.19,8.7,105.58,63.13,-8.28%,-18.74%,-11.56%,11.19%,-22.47%,0.98,-,5.69%,13.50%,4.43,81.94,88.74,47.29,50.00%,70.00%
GPT Infraprojects,https://scanx.trade/company/gpt-infraprojects-ltd,104.28,1.47%,102.77,"1,35,740","1,317.73",14.57,8.7,149.8,84.48,-3.92%,-4.98%,-13.49%,293.06%,809.95%,2.37,2.92%,-,21.01%,-,106.37,118.52,49.62,50.00%,-
Unitech Group,https://scanx.trade/company/unitech-group-ltd,5.03,7.25%,4.84,"1,68,47,587","1,316.00",-0.46,8.7,10.5,4.12,-15.46%,-28.35%,-44.54%,204.85%,171.89%,-0.15,-,-,4.72%,-,5.51,6.78,50.4,-,-
Chaman Lal Setia Exports,https://scanx.trade/company/chaman-lal-setia-exp-ltd,264.63,-0.52%,264.63,"39,484","1,315.89",14.12,30.92,395.75,228.8,-1.59%,-2.53%,-19.58%,99.95%,105.94%,1.95,0.94%,19.34%,18.35%,21.42,256.12,294.59,59.08,50.00%,-
SPML Infra,https://scanx.trade/company/spml-infra-ltd,181.93,-0.05%,183.48,"2,17,773","1,314.48",28.65,8.7,323.4,136.3,-2.92%,-21.98%,3.93%,547.44%,1176.70%,1.57,-,-,6.94%,-,179.19,222.56,53.92,50.00%,-
Manaksia Coated Metals & Ind,https://scanx.trade/company/manaksia-coated-metals-ind-ltd,123.89,-2.22%,128.5,"1,03,986","1,311.18",33.24,19.48,182.82,72.2,-5.78%,-20.99%,16.88%,575.15%,1197.28%,4,0.03%,-,17.30%,-,132.08,133,44.27,-,-
One Point One Solutions,https://scanx.trade/company/one-point-one-solutions-ltd,49.57,-1.29%,49.56,"4,18,929","1,303.30",36.13,52.74,69.99,41.01,-8.36%,-0.48%,-4.49%,212.74%,2064.63%,3.1,-,-,10.81%,-,53.39,52.13,42.28,-,-
Godavari Biorefineries,https://scanx.trade/company/godavari-biorefineriesltd,254.65,1.80%,248.7,"35,519","1,303.20",63.55,17.04,348.7,145,-14.92%,-4.89%,6.84%,-25.80%,-25.80%,1.76,-,-,6.56%,-,263.28,258.92,45.93,-,-
Andhra Paper,https://scanx.trade/company/andhra-pradesh-paper-mills-ltd,65.53,-2.34%,67.75,"1,12,980","1,303.07",65.19,220.88,90,61.16,-2.85%,-15.52%,-23.91%,-25.48%,48.36%,0.69,1.49%,17.95%,6.24%,62.58,65.98,74.85,51.8,60.00%,-
Arfin,https://scanx.trade/company/arfin-india-ltd,77.23,2.52%,76.35,"16,17,556","1,303.04",139.11,87.15,84.01,31.43,3.28%,41.55%,101.12%,101.12%,101.12%,7.91,-,-,18.45%,-,70.45,-,56.57,-,-
Genesys International Corp,https://scanx.trade/company/genesys-international-corp-ltd,309.5,-4.12%,321,"1,95,602","1,292.79",23,52.74,901.45,289.65,-27.87%,-38.30%,-63.84%,-17.83%,342.78%,1.98,-,3.66%,15.53%,5.57,390.43,547.82,36.43,50.00%,-
Hester Biosciences,https://scanx.trade/company/hester-biosciences-ltd,"1,514.80",-0.82%,"1,521.00","3,724","1,288.62",30.6,18.72,"2,350.00","1,242.95",-5.57%,-5.54%,-20.45%,-16.95%,-12.04%,3.85,0.46%,6.99%,9.90%,22.75,"1,557.55","1,772.53",50.96,50.00%,-
Hi-Tech Gears,https://scanx.trade/company/hitech-gears-ltd,682.95,0.79%,675,565,"1,283.48",44.52,173.23,897.45,515,-9.27%,-10.71%,-3.81%,169.89%,249.87%,2.55,0.74%,-,13.59%,-,693.59,699.13,47.55,-,-
Syncom Formulations,https://scanx.trade/company/syncom-formulations-ltd,13.6,-3.27%,14.21,"15,89,431","1,278.40",20.97,18.72,23.49,11.65,-5.95%,-16.97%,-24.61%,81.33%,67.90%,3.49,-,-,18.75%,-,14.01,16.93,52.95,-,-
TAC Infosec,https://scanx.trade/company/tac-infosec-ltd,607.25,-2.44%,630,"41,000","1,276.82",88.29,52.74,"1,508.00",590,-19.92%,-30.19%,-58.13%,99.43%,99.43%,23.66,-,-,28.68%,-,726.36,622.52,37.93,-,-
Everest Kanto Cylinder,https://scanx.trade/company/everest-kanto-cylinder-ltd,113.53,-1.15%,114,"2,04,821","1,273.89",13.35,11.76,166.5,100.11,-3.12%,-19.80%,-28.26%,36.45%,83.11%,1,0.61%,8.87%,10.78%,9.56,114.06,130.26,52.44,50.00%,-
Rama Steel Tubes,https://scanx.trade/company/rama-steel-tubes-ltd,7.78,-1.77%,7.94,"61,41,441","1,272.84",71.91,19.48,14.9,7.25,-17.85%,-23.20%,-34.29%,-33.05%,718.95%,2.78,-,10.41%,10.61%,0.2,9.12,10.43,37.53,50.00%,60.00%
Renaissance Jewellery,https://scanx.trade/company/renaissance-global-ltd,118.18,1.23%,116.65,"5,04,566","1,268.37",16.97,8.17,175,101.55,-5.05%,-13.38%,-30.26%,21.40%,87.29%,0.87,-,6.41%,8.71%,7.67,120.64,121.7,53.39,50.00%,-
JG Chemicals,https://scanx.trade/company/jg-chemicals-ltd,322.95,-4.73%,335.6,"87,093","1,265.51",20.37,200.88,558,280.45,-9.63%,-24.62%,-12.43%,74.76%,74.76%,2.69,0.30%,26.60%,19.08%,11.24,349,405.52,45.69,60.00%,-
Arihant Superstructures,https://scanx.trade/company/arihant-superstructures-ltd,292.4,-1.02%,298.6,"8,532","1,264.63",20.41,8.7,503.9,259.25,-14.75%,-30.71%,-38.00%,39.94%,683.91%,3.64,0.48%,20.38%,9.86%,12.4,313.71,376.21,46.18,50.00%,-
Platinum Industries,https://scanx.trade/company/platinum-industries-ltd,229.97,-2.01%,234.99,"37,738","1,263.11",30.75,200.88,342.4,213,-6.38%,-16.53%,-23.29%,3.96%,3.96%,3.15,-,52.52%,17.39%,9.06,244.07,268.82,46.57,50.00%,-
Pashupati Cotspin,https://scanx.trade/company/pashupati-cotspin-ltd,800,-0.97%,815,519,"1,262.72",102.02,29.53,860,580,-1.06%,-1.83%,33.11%,614.29%,1262.86%,7.95,0.06%,-,16.08%,-,811.73,726.61,47.73,-,-
Hariom Pipe Industries,https://scanx.trade/company/hariom-pipe-industries-ltd,407.7,-0.61%,414.9,"58,219","1,262.54",20.23,19.48,572.2,320.35,3.08%,-8.48%,-10.39%,0.47%,76.49%,2.09,0.15%,12.32%,18.88%,20.39,383.91,424.78,52.01,50.00%,60.00%
Igarashi Motors,https://scanx.trade/company/igarashi-motors-india-ltd,400.7,-2.87%,412,"26,036","1,261.21",84.92,-0.1,689.75,354.3,-13.75%,-18.91%,-41.08%,-1.80%,20.15%,2.79,0.61%,2.14%,8.99%,5.18,424.01,484.95,48.23,50.00%,-
Texmaco Infrastructure & Holdings,https://scanx.trade/company/texmaco-infrastructure-holdings-ltd,98.78,1.07%,98.21,"87,712","1,258.72","-2,459.00",8.7,118.4,85.35,-0.99%,-2.92%,-13.75%,74.52%,63.81%,0.87,0.15%,0.48%,0.54%,0.42,100.68,99.41,52.8,50.00%,-
Faze Three,https://scanx.trade/company/faze-three-ltd,516.4,-2.55%,538,"3,86,017","1,255.83",37.73,118.54,747.95,317.75,26.18%,8.51%,25.14%,80.34%,68.48%,3.41,-,17.42%,15.40%,17.06,427.78,514.48,69.97,50.00%,-
Tinna Rubber and Infrastructure,https://scanx.trade/company/tinna-rubber-and-infrastructure-ltd,695.85,-3.93%,725,"36,557","1,253.63",30.18,38.29,"1,088.85",606,-11.24%,-26.81%,-31.86%,-31.86%,-31.86%,4.81,0.52%,-,29.11%,-,747.36,881.92,50.28,50.00%,-
Capital India Finance,https://scanx.trade/company/capital-india-finance-ltd,32.02,-0.25%,32.1,"38,167","1,247.85",36.52,3.47,44.5,29.25,-8.30%,-8.64%,-11.06%,-11.06%,-11.06%,1.87,0.06%,-,5.93%,-,34.52,35.85,41.34,50.00%,-
Excel Industries,https://scanx.trade/company/excel-industries-ltd,985.8,7.28%,940.45,"97,008","1,239.22",15.19,22.23,"1,440.00",799.1,3.47%,-11.56%,-25.48%,-8.36%,16.15%,0.64,1.50%,6.44%,6.60%,33.53,928.2,"1,116.21",63.2,50.00%,-
Monte Carlo Fashions,https://scanx.trade/company/monte-carlo-fashions-ltd,596.65,-2.04%,607.5,"14,202","1,236.98",13.05,23.66,860.95,518.05,-7.23%,-17.69%,-12.76%,-5.76%,156.73%,1.51,3.29%,17.07%,14.92%,28.7,656.24,637.01,46.52,50.00%,-
ECOS Mobility & Hospitality,https://scanx.trade/company/ecos-mobility-ltd,205.82,3.91%,200,"15,49,106","1,234.92",20.2,38.29,358.4,165,2.93%,0.43%,-14.66%,-53.56%,-53.56%,5.05,1.21%,-,34.70%,-,205.62,248.98,60.13,60.00%,-
Ivalue Infosolutions,https://scanx.trade/company/ivalue-infosolutions-ltd,229.8,-8.34%,218.73,"18,53,126","1,230.35",14.01,9.57,340,219.3,-15.09%,-18.35%,-18.47%,-18.47%,-18.47%,2.7,-,-,25.22%,-,266.57,-,39.28,-,100.00%
Dynacons Systems & Solutions,https://scanx.trade/company/dynacons-systems-solutions-ltd,965.45,1.94%,950,"43,915","1,228.57",15.27,52.74,"1,273.80",820.55,-3.94%,5.94%,-20.57%,93.36%,1530.83%,4.43,-,31.93%,36.47%,45.18,953.02,"1,001.17",51.9,50.00%,-
RACL Geartech,https://scanx.trade/company/racl-geartech-ltd,"1,040.60",-3.33%,"1,088.60","11,899","1,226.67",38.03,173.23,"1,347.80",658.05,-9.68%,-3.99%,27.63%,22.73%,22.73%,3.91,-,-,18.06%,-,"1,048.87",987.13,50.57,50.00%,-
Walchandnagar Industries,https://scanx.trade/company/walchandnagar-industries-ltd,180.65,-1.29%,182.7,"8,70,742","1,225.28",-16.78,24.35,291,141.6,-3.89%,4.42%,-32.03%,164.88%,180.95%,3.55,-,-,-8.68%,-,173.64,192.03,53.45,-,-
Bhartiya International,https://scanx.trade/company/bhartiya-international-ltd,913.6,1.91%,883,"15,694","1,225.18",41.58,28.5,984.75,444,24.24%,7.41%,41.00%,346.42%,556.56%,2.49,-,-,13.29%,-,753.16,780.58,72.3,-,-
Motisons Jewellers,https://scanx.trade/company/motisons-jewellers-ltd,12.43,-3.04%,12.8,"15,94,321","1,223.68",22.46,8.17,25.5,10.62,-14.80%,-25.12%,-48.19%,19.98%,19.98%,2.81,-,-,15.93%,-,14.3,17.64,45.58,50.00%,-
Jyoti Structures,https://scanx.trade/company/jyoti-structures-ltd,10.25,-1.82%,10.6,"1,03,44,832","1,223.31",24.88,17.55,25.24,7.94,0.69%,-17.00%,-54.93%,44.16%,92.67%,2.45,-,-113.09%,1.41%,0.36,9.87,14.99,58.92,57.58%,-
Western Carriers,https://scanx.trade/company/western-carriers-india-ltd,119.92,0.85%,119.4,"1,74,697","1,222.65",25.77,38.29,147.29,65.1,-0.21%,-9.77%,15.20%,-24.79%,-24.79%,1.43,-,-,12.77%,-,117.31,115.23,58.15,50.00%,-
Danish Power,https://scanx.trade/company/danish-power-ltd,618.8,-0.67%,623,"19,950","1,218.52",21.3,-0.1,"1,189.00",582,-4.10%,-29.79%,-24.72%,3.39%,3.39%,3.83,-,-,25.92%,-,649.15,860.22,45.02,-,-
Orient Green Power,https://scanx.trade/company/orient-green-power-ltd,10.33,-3.91%,10.59,"34,52,288","1,211.73",17.34,22.3,15.81,9.68,-13.19%,-26.06%,-31.41%,24.61%,357.08%,1.06,-,4.91%,7.00%,0.25,11.41,13.05,43.69,50.00%,-
B L Kashyap & Sons,https://scanx.trade/company/bl-kashyap-and-sons-ltd,53.52,2.12%,52.72,"7,08,886","1,206.55",-,8.7,80.01,45,0.04%,-8.82%,-18.64%,77.51%,377.86%,2.26,-,4.98%,14.34%,2.33,49.64,61.76,63.37,11.00%,-
Alicon Castalloy,https://scanx.trade/company/alicon-castalloy-ltd,737.15,-0.91%,747.7,"3,171","1,204.27",36.4,21.9,"1,050.00",597.15,-12.99%,-23.73%,-23.77%,-14.92%,72.13%,1.97,0.74%,10.54%,14.43%,43.55,798.57,842.87,48.05,50.00%,-
DAM Capital Advisors,https://scanx.trade/company/dam-capital-advisors-ltd,170.21,-3.55%,173.05,"3,08,466","1,203.15",15.33,3.47,311.3,167.07,-22.32%,-32.57%,-43.79%,-59.00%,-59.00%,4,0.57%,-,52.07%,-,203.56,231.28,33.68,65.00%,70.00%
Rupa & Company,https://scanx.trade/company/rupa-company-ltd,150.69,-1.62%,153.88,"87,206","1,198.36",16.36,23.66,238.05,146,-6.80%,-21.64%,-34.23%,-42.37%,-47.87%,1.2,1.96%,5.89%,12.74%,9.9,160.3,192.74,40.16,50.00%,-
