name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Pricol,https://scanx.trade/company/pricol-ltd,584.75,0.77%,586.9,"3,73,534","7,127.02",33.27,173.23,694.2,367.85,-14.39%,8.97%,12.50%,196.68%,1040.98%,6.24,-,16.64%,20.11%,12.65,616.53,516.32,47.58,50.00%,70.00%
Aarti Pharma Labs,https://scanx.trade/company/aarti-pharma-labs-ltd,783.35,0.86%,776.65,"73,468","7,100.86",29.6,16.76,971,574.45,5.56%,-7.25%,25.74%,201.87%,171.76%,3.47,0.64%,12.34%,17.23%,24.86,746.98,821.56,54.72,50.00%,75.00%
Gujarat State Fertilizers & Chemicals,https://scanx.trade/company/gujarat-state-fertilizers-chemicals-ltd,178.19,-1.29%,181.5,"3,92,197","7,100.47",10.77,78.98,220.59,158.3,-3.11%,-6.95%,-14.18%,44.63%,116.38%,0.58,2.77%,10.51%,5.86%,13.52,177.39,194.33,51.03,67.10%,80.00%
Maharashtra Seamless,https://scanx.trade/company/maharashtra-seamless-ltd,527.4,-1.72%,540,"70,738","7,067.12",8.55,24.72,773.8,500.7,-5.67%,-7.96%,-15.17%,64.45%,258.34%,1.1,1.86%,16.61%,14.83%,65.23,545.32,625.81,49.03,66.60%,80.00%
Blue Jet Healthcare,https://scanx.trade/company/blue-jet-healthcare-ltd,406.7,-1.50%,413,"1,88,636","7,054.84",20.32,16.76,"1,027.80",392,-23.42%,-32.96%,-49.45%,-1.62%,-1.62%,5.7,0.29%,39.96%,50.91%,9.47,506.56,694.45,25.99,50.00%,100.00%
Akums Drugs & Pharma,https://scanx.trade/company/akums-drugs-pharma-ltd,447.65,-0.57%,449.9,"49,768","7,045.74",21.9,16.76,622.95,405,-0.93%,-4.98%,-20.89%,-43.78%,-43.78%,2.25,-,0.11%,11.80%,-,435.13,486.74,57.42,60.00%,80.00%
Garware Technical Fibres,https://scanx.trade/company/garware-technical-fibres-ltd,706.75,-1.71%,719.05,"38,774","7,015.61",34.92,23.66,985.55,588.15,2.46%,-7.12%,-15.30%,19.89%,57.35%,5.49,0.21%,16.94%,25.16%,106.83,669.87,792.08,59.97,50.00%,-
Sapphire Foods,https://scanx.trade/company/sapphire-foods-india-ltd,217.47,7.24%,205,"61,89,225","6,989.11","20,275.00",225.72,368,179.4,-13.70%,-23.65%,-31.84%,-6.10%,-10.25%,4.68,-,3.88%,5.22%,5.71,227.22,290.01,54.66,60.00%,75.00%
Sudeep Pharma,https://scanx.trade/company/sudeep-pharma-ltd,618.3,3.33%,607.5,"68,738","6,983.61",48.71,16.76,795,524.05,3.60%,-20.13%,-20.13%,-20.13%,-20.13%,11.5,-,-,34.79%,-,-,-,53.12,-,70.00%
Kalpataru,https://scanx.trade/company/kalpatarultd,337,-1.51%,342.15,"26,119","6,939.30",-141.95,8.7,457.4,319.1,-11.49%,-10.57%,-22.16%,-22.16%,-22.16%,1.77,-,-,2.05%,-,342.82,-,48.12,-,-
CE Info Systems,https://scanx.trade/company/ce-info-systems-ltd,"1,264.20",-1.70%,"1,285.00","42,696","6,917.91",48.24,52.74,"2,166.70","1,229.60",-25.71%,-29.11%,-27.96%,14.75%,-9.29%,8.44,0.27%,20.37%,25.90%,25.44,"1,562.87","1,729.93",28.59,60.00%,65.00%
Redtape,https://scanx.trade/company/redtape-ltd,124.66,-1.80%,126.57,"1,91,154","6,891.30",38.94,34.45,199.5,107.53,0.35%,-8.99%,-35.61%,-74.76%,-74.76%,8.21,1.77%,29.82%,25.07%,12.75,123.7,132.12,52.81,50.00%,-
Jai Balaji Industries,https://scanx.trade/company/jai-balaji-industries-ltd,75.07,5.96%,71.09,"43,92,615","6,848.31",22.07,24.72,161.45,59.9,3.39%,-19.13%,-43.92%,641.07%,1480.42%,2.91,-,-,36.05%,-,67.27,95.88,62.67,50.00%,60.00%
Gujarat Narmada Valley Fert & Chem,https://scanx.trade/company/gnfc-ltd,465.8,-0.68%,472,"1,06,046","6,844.50",10.82,200.88,584.7,442.45,-5.62%,-6.15%,-19.27%,-10.13%,102.08%,0.8,3.84%,16.08%,8.25%,35.86,483.02,508.9,45.48,69.14%,80.00%
Mrs. Bectors Food,https://scanx.trade/company/mrs-bectors-food-specialities-ltd,221.93,-1.73%,225.1,"3,06,341","6,813.04",50.82,30.92,330.8,208.67,-9.23%,-16.15%,-27.44%,139.51%,165.15%,5.7,0.53%,16.55%,15.79%,23.96,239.07,270.33,45.24,50.00%,75.00%
